Feature	Weight_LR	Weight_Lasso	Min	Max
User	45.22	53.89	272.11	6686.20	
CTXT	31.70	38.28	28497.93	370208.43	
Num_threads	-20.89	-36.33	10.00	43.60	
Intr	22.86	5.95	16837.67	193892.90	
Vsize	-15.99	-16.71	477690265.60	637551820.80	
Duration	84.95	88.60	42.00	200.00	
recvfrom	-25.56	-24.99	94.79	6932.20	
Fsync	47.99	45.49	0.00	234.20	
setsockopt	15.45	16.69	0.00	195.80	
mkdir	18.41	16.54	0.00	48.30	
futex	-6.80	-6.01	910.70	148252.70	
Write	-9.57	-7.08	43.80	12338.00	
sendto	41.81	25.90	8.00	580.20	
unlink	18.71	39.78	0.00	60.40	
Open	18.80	17.02	8.00	1153.44	
